#Data collected from:
# - Smith & Loewenstein 1975 (28.6-182um)
# - Sahin et al. 2019 (160-3000um)

Wavenumber_sigma_cm-1,Refractive_index_n,Absorption_alpha_cm-1
14.285714285714286,1.8492,1.5801869960354271
14.492753623188408,1.84886,1.6248044022396535
14.70588235294118,1.84848,1.6707322371012667
14.92537313432836,1.84804,1.7180310521080029
15.151515151515154,1.8476,1.768225433119765
15.384615384615389,1.84716,1.8262242424779351
15.625,1.84806,1.8860355146285472
15.873015873015872,1.84907,1.9477475519856264
16.12903225806452,1.85008,2.0114482733912213
16.393442622950822,1.84917,2.0772416631611357
16.666666666666668,1.84734,2.1452260715282785
16.949152542372882,1.84552,2.215515036111256
17.24137931034483,1.84614,2.291217687653615
17.54385964912281,1.84758,2.370612747002504
17.857142857142858,1.8488,2.4528433441852826
18.181818181818183,1.84767,2.5380641449019796
18.518518518518523,1.84654,2.626418000514454
18.867924528301888,1.84641,2.7181296740191234
19.23076923076923,1.84683,2.818346935632739
19.607843137254903,1.84734,2.9257960382161508
20.0,1.84798,3.037543104902899
20.40816326530613,1.84753,3.153876922006688
20.833333333333336,1.84516,3.27503180155102
21.276595744680854,1.84487,3.407705604067915
21.73913043478261,1.84696,3.5488250160859938
22.22222222222222,1.84589,3.696188476703511
22.72727272727273,1.84384,3.8502788363732217
23.255813953488374,1.84548,4.008730674215992
23.809523809523817,1.8461,4.1730822415184425
24.39024390243903,1.84563,4.345481608129828
25.000000000000004,1.84336,4.5295168720192285
25.64102564102564,1.84443,4.739390566474005
26.315789473684212,1.84334,4.960277175451101
27.027027027027028,1.84277,5.19059032700679
27.77777777777778,1.84452,5.427275842001568
28.571428571428573,1.84274,5.677522147483516
29.41176470588236,1.84211,5.954352956132665
30.303030303030308,1.84153,6.252721378417505
31.25,1.84102,6.562276544542868
32.25806451612904,1.83973,6.88333084571374
33.333333333333336,1.84062,7.230145108775646
34.48275862068966,1.8387,7.604257517248442
35.714285714285715,1.83937,7.955185797315127
37.037037037037045,1.83772,8.34770037277864
38.46153846153846,1.83593,8.838363442830842
40.0,1.83497,9.294540095722162
41.66666666666667,1.83417,9.83177128904194
43.47826086956522,1.83287,10.31431309108408
45.45454545454546,1.83131,10.71151719181333
47.61904761904763,1.82921,11.209741146748998
50.00000000000001,1.82601,11.655748567789637
52.631578947368425,1.82346,12.061268654454642
55.55555555555556,1.82088,12.365448310869589
58.82352941176472,1.81704,12.52741486545466
60.0,1.77,3.1
62.5,1.81244,12.339469084953649
65.0,1.781,7.5
70.0,1.784,7.5
75.0,1.785,7.8
80.0,1.787,9.5
85.0,1.793,8.3
90.0,1.797,9.5
95.0,1.806,16.0
100.0,1.804,23.4
105.0,1.808,32.2
110.0,1.805,42.2
115.0,1.804,49.3
120.0,1.806,51.6
125.0,1.805,59.1
130.0,1.815,71.3
135.0,1.811,84.8
140.0,1.82,108.8
145.0,1.808,146.3
150.0,1.793,153.5
155.0,1.792,171.1
160.0,1.755,219.6
165.0,1.738,254.5
170.0,1.723,202.1
175.0,1.709,128.2
180.0,1.716,102.3
185.0,1.723,97.5
190.0,1.726,97.5
195.0,1.73,94.5
200.0,1.73,102.4
205.0,1.726,102.2
210.0,1.725,88.9
215.0,1.726,72.9
220.0,1.729,70.4
225.0,1.723,61.4
230.0,1.737,60.5
235.0,1.743,59.2
240.0,1.749,66.1
245.0,1.758,80.1
250.0,1.758,96.1
255.0,1.745,155.9
260.0,1.733,372.3
265.0,1.721,126.0
270.0,1.712,113.9
275.0,1.716,85.2
280.0,1.723,65.3
285.0,1.728,57.8
290.0,1.73,51.1
295.0,1.733,44.5
300.0,1.734,39.5
305.0,1.736,38.1
310.0,1.739,39.2
315.0,1.74,42.4
320.0,1.743,48.9
325.0,1.742,54.6
330.0,1.745,53.6
335.0,1.746,48.4
340.0,1.748,48.8
345.0,1.751,42.5
350.0,1.754,40.0
