Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
72	200.000	-0.046	200.004	3.416	4.672	1.328	1771524112.875	1771524112.875	1771524112.875	1771524112.875	1771524112.875	1771524112.875
73	200.000	0.018	199.999	3.411	4.700	1.328	1771524113.155	1771524113.155	1771524113.155	1771524113.155	1771524113.155	1771524113.155
74	200.000	0.045	199.999	3.293	4.717	1.328	1771524113.380	1771524113.380	1771524113.380	1771524113.380	1771524113.380	1771524113.380
75	200.000	0.063	199.997	3.336	4.608	1.328	1771524113.567	1771524113.567	1771524113.567	1771524113.567	1771524113.567	1771524113.567
76	200.000	0.045	200.002	3.340	4.631	1.328	1771524113.832	1771524113.832	1771524113.832	1771524113.832	1771524113.832	1771524113.832
77	200.000	-0.050	200.001	3.450	4.652	1.328	1771524114.076	1771524114.076	1771524114.076	1771524114.076	1771524114.076	1771524114.076
78	200.000	0.033	200.000	3.351	4.650	1.328	1771524114.339	1771524114.339	1771524114.339	1771524114.339	1771524114.339	1771524114.339
79	200.000	-0.029	200.004	3.395	4.689	1.328	1771524114.554	1771524114.554	1771524114.554	1771524114.554	1771524114.554	1771524114.554
80	200.000	-0.046	199.999	3.501	4.657	1.328	1771524114.762	1771524114.762	1771524114.762	1771524114.762	1771524114.762	1771524114.762
81	200.000	0.023	200.001	3.328	4.706	1.328	1771524115.030	1771524115.030	1771524115.030	1771524115.030	1771524115.030	1771524115.030
82	200.000	-0.021	199.999	3.417	4.683	1.328	1771524115.274	1771524115.274	1771524115.274	1771524115.274	1771524115.274	1771524115.274
83	200.000	0.039	200.002	3.466	4.618	1.328	1771524115.509	1771524115.509	1771524115.509	1771524115.509	1771524115.509	1771524115.509
84	200.000	-0.077	200.000	3.509	4.684	1.328	1771524115.766	1771524115.766	1771524115.766	1771524115.766	1771524115.766	1771524115.766
85	200.000	-0.005	200.003	3.467	4.693	1.328	1771524115.959	1771524115.959	1771524115.959	1771524115.959	1771524115.959	1771524115.959
86	200.000	-0.011	200.002	3.464	4.702	1.328	1771524116.199	1771524116.199	1771524116.199	1771524116.199	1771524116.199	1771524116.199
87	200.000	0.039	200.001	3.340	4.730	1.328	1771524116.403	1771524116.403	1771524116.403	1771524116.403	1771524116.403	1771524116.403
88	200.000	0.015	200.000	3.427	4.664	1.328	1771524116.650	1771524116.650	1771524116.650	1771524116.650	1771524116.650	1771524116.650
89	200.000	0.009	200.001	3.531	4.661	1.328	1771524116.874	1771524116.874	1771524116.874	1771524116.874	1771524116.874	1771524116.874
90	200.000	-0.004	199.998	3.497	4.706	1.328	1771524117.079	1771524117.079	1771524117.079	1771524117.079	1771524117.079	1771524117.079
91	200.000	-0.020	200.003	3.422	4.694	1.328	1771524117.265	1771524117.265	1771524117.265	1771524117.265	1771524117.265	1771524117.265
92	200.000	-0.002	200.006	3.303	4.684	1.328	1771524117.535	1771524117.535	1771524117.535	1771524117.535	1771524117.535	1771524117.535
93	200.000	-0.019	200.003	3.451	4.672	1.328	1771524117.760	1771524117.760	1771524117.760	1771524117.760	1771524117.760	1771524117.760
94	200.000	-0.018	200.002	3.396	4.644	1.328	1771524117.940	1771524117.940	1771524117.940	1771524117.940	1771524117.940	1771524117.940
95	200.000	-0.031	199.998	3.531	4.683	1.328	1771524118.146	1771524118.146	1771524118.146	1771524118.146	1771524118.146	1771524118.146
96	200.000	0.014	200.000	3.428	4.645	1.328	1771524118.411	1771524118.411	1771524118.411	1771524118.411	1771524118.411	1771524118.411
97	200.000	-0.017	199.998	3.490	4.651	1.328	1771524118.640	1771524118.640	1771524118.640	1771524118.640	1771524118.640	1771524118.640
98	200.000	0.077	200.000	3.561	4.622	1.328	1771524118.894	1771524118.894	1771524118.894	1771524118.894	1771524118.894	1771524118.894
99	200.000	-0.007	199.998	3.557	4.624	1.328	1771524119.155	1771524119.155	1771524119.155	1771524119.155	1771524119.155	1771524119.155
100	200.000	0.005	200.000	3.342	4.578	1.328	1771524119.394	1771524119.394	1771524119.394	1771524119.394	1771524119.394	1771524119.394
101	200.000	0.004	200.002	3.609	4.618	1.328	1771524119.659	1771524119.659	1771524119.659	1771524119.659	1771524119.659	1771524119.659
102	200.000	0.034	199.999	3.510	4.701	1.328	1771524119.917	1771524119.917	1771524119.917	1771524119.917	1771524119.917	1771524119.917
103	200.000	-0.028	199.999	3.486	4.709	1.328	1771524120.180	1771524120.180	1771524120.180	1771524120.180	1771524120.180	1771524120.180
104	200.000	-0.013	200.002	3.346	4.700	1.328	1771524120.381	1771524120.381	1771524120.381	1771524120.381	1771524120.381	1771524120.381
105	200.000	-0.019	200.002	3.509	4.734	1.328	1771524120.596	1771524120.596	1771524120.596	1771524120.596	1771524120.596	1771524120.596
106	200.000	-0.003	199.998	3.490	4.664	1.328	1771524120.835	1771524120.835	1771524120.835	1771524120.835	1771524120.835	1771524120.835
107	200.000	0.044	199.999	3.466	4.730	1.328	1771524121.021	1771524121.021	1771524121.021	1771524121.021	1771524121.021	1771524121.021
108	200.000	0.002	200.000	3.504	4.691	1.328	1771524121.267	1771524121.267	1771524121.267	1771524121.267	1771524121.267	1771524121.267
109	200.000	-0.047	200.002	3.578	4.707	1.328	1771524121.519	1771524121.519	1771524121.519	1771524121.519	1771524121.519	1771524121.519
110	200.000	0.000	199.999	3.583	4.726	1.328	1771524121.778	1771524121.778	1771524121.778	1771524121.778	1771524121.778	1771524121.778
111	200.000	0.010	200.002	3.502	4.734	1.328	1771524122.031	1771524122.031	1771524122.031	1771524122.031	1771524122.031	1771524122.031
112	200.000	0.033	200.001	3.556	4.691	1.328	1771524122.293	1771524122.293	1771524122.293	1771524122.293	1771524122.293	1771524122.293
113	200.000	0.005	200.002	3.333	4.696	1.328	1771524122.494	1771524122.494	1771524122.494	1771524122.494	1771524122.494	1771524122.494
114	200.000	-0.037	200.000	3.666	4.677	1.328	1771524122.712	1771524122.712	1771524122.712	1771524122.712	1771524122.712	1771524122.712
115	200.000	0.017	200.001	3.480	4.688	1.328	1771524122.961	1771524122.961	1771524122.961	1771524122.961	1771524122.961	1771524122.961
116	200.000	-0.054	200.004	3.569	4.707	1.328	1771524123.206	1771524123.206	1771524123.206	1771524123.206	1771524123.206	1771524123.206
117	200.000	0.013	199.998	3.793	4.151	1.328	1771524123.466	1771524123.466	1771524123.466	1771524123.466	1771524123.466	1771524123.466
118	200.000	0.030	199.997	4.828	1.216	1.328	1771524123.691	1771524123.691	1771524123.691	1771524123.691	1771524123.691	1771524123.691
119	200.000	0.015	199.998	1.675	0.187	1.328	1771524123.875	1771524123.875	1771524123.875	1771524123.875	1771524123.875	1771524123.875
120	200.000	-0.039	200.000	5.254	4.398	1.328	1771524124.065	1771524124.065	1771524124.065	1771524124.065	1771524124.065	1771524124.065
121	200.000	0.016	200.001	2.037	3.903	1.328	1771524124.246	1771524124.246	1771524124.246	1771524124.246	1771524124.246	1771524124.246
122	200.000	0.030	200.000	5.310	1.151	1.328	1771524124.463	1771524124.463	1771524124.463	1771524124.463	1771524124.463	1771524124.463
123	200.000	0.003	200.003	1.499	5.467	1.328	1771524124.651	1771524124.651	1771524124.651	1771524124.651	1771524124.651	1771524124.651
124	200.000	-0.013	199.994	4.601	4.243	1.328	1771524124.913	1771524124.913	1771524124.913	1771524124.913	1771524124.913	1771524124.913
125	200.000	0.022	200.000	3.665	1.265	1.328	1771524125.153	1771524125.153	1771524125.153	1771524125.153	1771524125.153	1771524125.153
126	200.000	-0.018	200.000	1.496	6.081	1.328	1771524125.392	1771524125.392	1771524125.392	1771524125.392	1771524125.392	1771524125.392
127	200.000	-0.012	200.000	5.042	4.277	1.328	1771524125.612	1771524125.612	1771524125.612	1771524125.612	1771524125.612	1771524125.612
