Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
100.000	99.997	1.116	3.478
100.000	100.000	2.470	4.291
100.000	100.001	1.817	3.371
100.000	99.998	2.899	2.718
100.000	99.997	1.417	3.905
100.000	99.996	2.282	4.382
100.000	100.002	1.166	3.368
100.000	100.000	3.439	2.709
100.000	100.003	1.568	3.880
100.000	99.999	1.592	3.764
100.000	99.999	1.658	2.700
100.000	100.004	3.322	2.763
100.000	99.999	1.955	3.878
100.000	99.999	2.082	4.004
100.000	100.002	1.883	2.781
100.000	99.997	3.550	2.568
100.000	100.000	1.631	3.749
100.000	100.000	1.968	3.852
100.000	99.996	2.245	2.572
100.000	100.000	2.917	2.874
100.000	100.002	1.496	3.730
100.000	99.996	0.839	4.030
100.000	100.001	2.273	2.486
100.000	99.998	1.963	2.826
100.000	100.001	1.567	3.929
100.000	100.000	0.679	3.663
100.000	100.000	2.475	2.791
100.000	100.002	2.161	2.921
100.000	100.000	1.433	3.544
100.000	100.002	0.998	2.096
100.000	100.003	2.482	2.551
100.000	100.000	1.815	2.871
100.000	100.001	1.672	3.843
100.000	99.998	1.253	1.993
100.000	100.000	2.579	2.396
100.000	100.002	0.966	3.493
100.000	100.001	1.467	3.960
100.000	99.998	0.584	2.780
100.000	100.000	2.398	2.648
100.000	100.000	0.456	2.793
100.000	100.001	0.216	3.527
100.000	100.001	1.119	1.846
100.000	99.998	2.606	2.695
100.000	100.002	0.805	3.209
100.000	99.999	0.476	4.174
100.000	100.000	1.892	2.179
100.000	99.999	3.379	2.652
100.000	99.998	1.341	3.982
100.000	99.998	0.650	4.567
100.000	100.002	1.164	1.640
100.000	100.001	2.953	2.493
100.000	99.999	1.034	3.956
100.000	100.000	0.887	4.982
100.000	100.002	0.930	1.209
100.000	99.994	3.011	2.908
100.000	100.002	1.702	4.000
100.000	99.996	1.293	4.699
100.000	100.000	0.652	6.274
100.000	100.006	1.107	1.049
100.000	100.000	1.213	0.960
100.000	99.999	1.360	0.932
100.000	100.000	1.191	1.044
100.000	99.998	1.360	1.092
100.000	99.998	1.535	1.132
100.000	100.003	0.630	0.085
100.000	100.001	1.131	0.988
100.000	100.001	1.572	1.067
100.000	99.996	1.655	1.110
100.000	99.998	1.285	0.924
100.000	100.003	1.322	1.114
100.000	99.999	1.294	0.998
100.000	100.000	1.115	1.019
100.000	100.005	1.346	1.083
100.000	100.002	1.302	1.087
100.000	100.001	1.351	1.036
100.000	100.000	1.423	1.172
100.000	100.002	1.385	1.038
100.000	99.996	1.475	1.029
100.000	99.997	1.236	1.047
100.000	100.003	1.477	1.113
100.000	100.002	1.244	1.061
100.000	100.005	1.534	1.053
100.000	100.003	1.552	1.157
100.000	99.996	1.490	1.036
100.000	99.999	1.457	1.201
100.000	99.995	1.314	1.008
100.000	99.999	1.333	1.008
100.000	100.006	1.365	1.119
100.000	99.999	1.475	1.026
100.000	99.998	1.316	1.040
100.000	99.999	1.396	1.099
100.000	99.999	1.366	1.169
100.000	100.004	1.399	1.052
100.000	100.002	1.379	1.117
100.000	99.999	1.711	1.238
100.000	100.001	1.476	0.980
100.000	100.002	1.516	1.063
100.000	99.999	1.506	1.107
100.000	100.001	1.249	0.957
100.000	100.002	1.331	1.024
100.000	100.002	1.200	0.879
100.000	100.002	1.525	0.982
100.000	100.001	1.504	1.096
100.000	100.002	1.196	0.976
100.000	99.999	1.344	1.035
100.000	100.001	1.385	1.059
100.000	99.999	1.344	0.919
100.000	100.000	1.299	1.052
100.000	99.998	1.601	1.118
100.000	100.006	1.445	1.094
100.000	100.000	1.487	1.023
100.000	100.000	1.320	0.930
100.000	99.999	1.567	1.032
100.000	99.999	1.475	1.087
100.000	99.998	1.404	1.041
100.000	99.996	1.267	1.050
100.000	100.003	1.519	1.139
100.000	99.998	1.306	0.911
100.000	100.003	1.323	1.064
100.000	100.000	1.395	0.991
100.000	100.003	1.262	0.920
100.000	100.000	1.498	1.008
100.000	100.000	1.354	1.001
100.000	99.996	1.255	0.967
100.000	99.999	1.460	1.152
100.000	100.001	1.322	1.034
100.000	99.999	1.435	1.092
100.000	100.000	1.295	0.915
100.000	100.001	1.590	1.152
100.000	100.000	1.300	0.869
100.000	100.000	1.259	1.049
100.000	99.999	1.999	0.200
100.000	100.006	1.094	1.076
100.000	99.997	1.143	1.116
100.000	100.003	1.310	0.989
100.000	100.001	1.283	0.972
100.000	99.995	1.106	1.013
100.000	100.002	1.371	0.984
100.000	100.000	1.292	1.082
100.000	100.000	1.281	1.039
100.000	99.995	1.255	1.041
100.000	100.000	1.399	1.085
100.000	100.005	1.434	1.017
100.000	99.997	1.157	1.160
