Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.000	0.498	2.687
400.000	399.997	0.916	2.157
400.000	399.999	0.385	1.221
400.000	399.998	0.303	0.206
400.000	400.000	0.477	2.546
400.000	400.000	0.989	2.201
400.000	400.002	0.199	1.406
400.000	400.000	0.225	2.760
400.000	400.002	0.942	2.204
400.000	400.003	0.169	0.898
400.000	399.999	0.143	3.395
400.000	400.001	0.982	2.234
400.000	399.998	0.154	4.730
400.000	400.004	0.384	2.813
400.000	400.001	1.051	2.180
400.000	400.000	0.470	1.652
400.000	400.000	0.139	5.281
400.000	400.003	0.404	2.444
400.000	400.002	1.042	2.275
400.000	399.997	0.137	1.040
400.000	400.001	0.144	3.013
400.000	399.999	1.022	2.128
400.000	399.997	0.717	1.733
400.000	400.000	0.137	0.282
400.000	400.000	0.137	3.034
400.000	399.999	0.980	2.375
400.000	400.001	0.448	1.705
400.000	400.002	0.153	4.215
400.000	400.001	0.791	2.303
400.000	400.002	0.508	1.669
400.000	399.998	0.108	4.091
400.000	399.998	0.308	3.467
400.000	400.002	0.848	2.294
400.000	399.998	0.278	1.315
400.000	400.000	0.055	1.060
400.000	399.998	0.594	2.566
400.000	400.000	0.826	2.132
400.000	399.999	0.204	0.853
400.000	400.001	0.090	2.760
400.000	399.999	0.928	2.289
400.000	399.997	0.630	1.902
400.000	400.002	0.057	0.011
400.000	400.000	0.540	2.645
400.000	399.998	0.288	1.301
400.000	400.005	0.138	4.638
400.000	400.000	0.734	2.457
400.000	399.999	0.583	2.144
400.000	400.001	0.040	6.191
400.000	400.001	0.292	2.599
400.000	399.999	0.826	2.247
400.000	399.998	0.468	1.645
400.000	399.999	0.184	3.745
400.000	400.001	0.846	2.455
400.000	399.999	0.625	1.913
400.000	399.998	0.122	4.546
400.000	400.000	0.363	2.998
400.000	400.000	0.879	2.322
400.000	400.001	0.312	1.393
400.000	399.999	0.278	3.854
400.000	400.000	0.622	2.513
400.000	399.999	0.812	2.174
400.000	399.997	0.086	0.543
400.000	400.000	0.362	3.112
400.000	400.001	0.920	2.185
400.000	400.003	0.304	0.719
400.000	400.003	0.166	3.624
400.000	400.002	0.972	2.276
400.000	400.002	0.425	1.236
400.000	399.997	0.174	4.443
400.000	400.002	0.844	2.442
400.000	400.000	0.817	2.078
400.000	399.998	0.126	0.097
400.000	400.000	1.146	2.478
400.000	400.000	0.547	1.643
400.000	399.999	0.232	6.231
400.000	400.002	0.286	3.041
400.000	400.000	0.914	2.232
400.000	400.001	0.071	0.405
400.000	400.000	0.063	5.778
400.000	399.999	0.778	2.490
400.000	400.002	0.825	2.093
400.000	399.998	0.145	0.631
400.000	400.000	0.233	3.438
400.000	399.998	0.951	2.195
400.000	399.996	0.514	1.723
400.000	399.996	0.082	5.381
400.000	400.003	0.572	2.525
400.000	400.001	0.777	2.056
400.000	400.001	0.240	6.149
400.000	399.999	0.329	3.179
400.000	400.001	1.057	2.324
400.000	400.001	0.441	1.376
400.000	399.998	0.126	5.000
400.000	399.999	0.659	2.531
400.000	399.999	0.877	2.062
400.000	400.000	0.408	0.773
400.000	399.997	0.126	6.038
400.000	400.001	0.703	2.697
400.000	400.002	0.774	2.062
400.000	399.999	0.251	6.193
400.000	400.005	0.375	2.725
400.000	399.997	1.098	2.369
400.000	400.000	0.385	1.224
400.000	400.000	0.479	2.679
400.000	400.000	0.933	2.174
400.000	399.998	0.230	0.048
400.000	399.998	0.480	2.817
400.000	399.997	0.830	2.095
400.000	399.999	0.277	0.424
400.000	400.000	0.601	2.727
400.000	400.000	0.972	2.113
400.000	400.002	0.326	0.853
400.000	400.000	0.128	3.927
400.000	399.998	0.920	2.311
400.000	399.998	0.818	1.540
400.000	400.001	0.299	0.424
400.000	400.001	0.234	2.958
400.000	400.001	1.008	2.370
400.000	399.999	0.509	1.310
400.000	399.999	0.203	5.082
400.000	400.001	0.465	2.651
400.000	400.000	1.037	2.326
400.000	400.002	0.215	0.465
400.000	400.003	0.141	3.358
400.000	399.998	1.056	2.455
400.000	400.000	0.387	1.794
400.000	399.999	0.141	4.106
400.000	400.000	0.909	2.420
400.000	400.001	0.674	1.817
400.000	400.002	0.303	5.658
400.000	400.004	0.502	2.538
400.000	400.003	0.916	2.182
400.000	399.999	0.236	5.178
400.000	399.998	0.543	2.536
400.000	399.999	1.018	2.300
400.000	400.000	0.359	0.732
400.000	399.999	0.166	5.174
400.000	400.002	0.651	2.661
400.000	399.999	1.013	2.109
400.000	399.997	0.265	0.410
400.000	399.999	0.257	3.165
400.000	400.002	1.030	2.369
400.000	400.001	0.569	1.871
400.000	400.000	0.109	5.201
400.000	399.997	0.737	2.426
400.000	399.995	0.757	2.136
400.000	399.999	0.262	0.148
400.000	399.997	0.313	3.247
400.000	400.000	0.981	2.134
400.000	400.006	0.411	1.325
400.000	400.000	0.219	3.486
400.000	400.002	1.101	2.248
400.000	399.997	0.423	1.483
400.000	400.004	0.118	5.035
400.000	400.002	0.976	2.511
400.000	400.005	0.626	2.015
400.000	400.002	0.130	0.090
400.000	399.996	0.300	2.906
400.000	400.002	1.049	2.390
400.000	400.000	0.434	1.499
400.000	400.000	0.161	5.096
400.000	400.001	0.780	2.551
400.000	400.000	0.360	0.926
400.000	400.001	0.157	3.215
400.000	400.002	0.914	2.495
400.000	400.001	0.607	1.898
400.000	400.000	0.186	5.919
400.000	400.004	0.338	2.803
400.000	399.999	0.981	2.327
