# # Date: 2026-03-03
# # RES_mm: 1.0
# # NSTEPS: 204
# Step,Encoder_Pos_mm,Unix_Time_s,Elapsed_Time_s
1.780000000000000000e+02,2.322469900000000000e+07,1.772557538426594496e+09,4.086290855407714844e+02
1.790000000000000000e+02,2.322880600000000000e+07,1.772557540699589491e+09,4.109020805358886719e+02
1.800000000000000000e+02,2.323291700000000000e+07,1.772557542985963821e+09,4.131884548664093018e+02
1.810000000000000000e+02,2.323701300000000000e+07,1.772557545271647215e+09,4.154741382598876953e+02
1.820000000000000000e+02,2.324109200000000000e+07,1.772557547558606625e+09,4.177610976696014404e+02
1.830000000000000000e+02,2.324517600000000000e+07,1.772557549840744972e+09,4.200432360172271729e+02
1.840000000000000000e+02,2.324925700000000000e+07,1.772557552128222704e+09,4.223307137489318848e+02
1.850000000000000000e+02,2.325338300000000000e+07,1.772557554411576986e+09,4.246140680313110352e+02
1.860000000000000000e+02,2.325749100000000000e+07,1.772557556688970327e+09,4.268914613723754883e+02
1.870000000000000000e+02,2.326160200000000000e+07,1.772557558976681948e+09,4.291791729927062988e+02
1.880000000000000000e+02,2.326570100000000000e+07,1.772557561259241581e+09,4.314617326259613037e+02
1.890000000000000000e+02,2.326977900000000000e+07,1.772557563542816401e+09,4.337453074455261230e+02
1.900000000000000000e+02,2.327384700000000000e+07,1.772557565830172777e+09,4.360326638221740723e+02
1.910000000000000000e+02,2.327795600000000000e+07,1.772557568114553452e+09,4.383170444965362549e+02
1.920000000000000000e+02,2.328203700000000000e+07,1.772557570399672508e+09,4.406021635532379150e+02
1.930000000000000000e+02,2.328611400000000000e+07,1.772557572692206621e+09,4.428946976661682129e+02
1.940000000000000000e+02,2.329020700000000000e+07,1.772557574970532656e+09,4.451730237007141113e+02
1.950000000000000000e+02,2.329431600000000000e+07,1.772557577265999556e+09,4.474684906005859375e+02
1.960000000000000000e+02,2.329842600000000000e+07,1.772557579555920124e+09,4.497584111690521240e+02
1.970000000000000000e+02,2.330253700000000000e+07,1.772557581835833073e+09,4.520383241176605225e+02
1.980000000000000000e+02,2.330663000000000000e+07,1.772557584129037619e+09,4.543315286636352539e+02
1.990000000000000000e+02,2.331072000000000000e+07,1.772557586401120186e+09,4.566036112308502197e+02
2.000000000000000000e+02,2.331479800000000000e+07,1.772557588674845695e+09,4.588773367404937744e+02
2.010000000000000000e+02,2.331890300000000000e+07,1.772557590965807199e+09,4.611682982444763184e+02
2.020000000000000000e+02,2.332298800000000000e+07,1.772557593259013176e+09,4.634615042209625244e+02
2.030000000000000000e+02,2.332706200000000000e+07,1.772557595543596268e+09,4.657460873126983643e+02
