Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
200.000	200.001	2.219	4.168
200.000	200.003	2.012	2.619
200.000	199.999	3.352	1.713
200.000	199.999	2.701	0.853
200.000	199.996	1.852	5.517
200.000	200.002	2.836	4.591
200.000	200.004	1.764	3.722
200.000	199.997	2.820	2.170
200.000	200.001	3.189	1.262
200.000	199.999	1.665	6.279
200.000	199.997	2.548	4.794
200.000	199.999	2.492	4.273
200.000	200.000	1.788	3.098
200.000	200.004	3.004	2.003
200.000	199.999	3.074	1.226
200.000	200.000	1.668	6.110
200.000	199.997	2.635	4.737
200.000	199.999	2.409	4.232
200.000	200.002	1.843	2.929
200.000	200.002	3.106	1.916
200.000	199.998	2.878	0.994
200.000	199.995	1.806	5.380
200.000	200.004	2.777	4.450
200.000	200.004	1.751	3.523
200.000	200.000	2.721	2.182
200.000	200.002	3.277	1.432
200.000	200.000	2.070	0.335
200.000	200.001	2.404	4.879
200.000	199.998	2.593	4.373
200.000	199.996	1.724	3.165
200.000	200.002	2.948	2.062
200.000	200.000	3.353	1.275
200.000	200.003	1.743	0.006
200.000	199.997	2.705	4.723
200.000	200.000	2.198	4.123
200.000	200.002	1.929	2.756
200.000	200.002	3.312	1.766
200.000	200.002	2.955	1.061
200.000	199.999	1.737	6.030
200.000	199.997	2.787	4.699
200.000	200.001	2.328	4.131
200.000	200.000	2.031	2.718
200.000	200.002	3.254	1.824
200.000	200.002	2.854	0.953
200.000	200.002	1.707	5.657
200.000	199.998	2.970	4.551
200.000	199.999	1.709	3.466
200.000	200.004	2.977	2.080
200.000	199.998	3.252	1.192
200.000	199.998	1.785	6.119
200.000	200.001	2.835	4.712
200.000	200.001	2.493	4.218
200.000	200.001	1.875	2.779
200.000	200.004	3.119	1.864
200.000	199.998	3.051	1.015
200.000	200.002	1.689	5.922
200.000	199.999	2.887	4.652
200.000	199.998	2.119	4.021
200.000	200.000	2.638	2.287
200.000	200.000	3.253	1.407
200.000	199.999	2.047	0.437
200.000	199.998	2.412	4.988
200.000	200.002	2.629	4.349
200.000	199.997	1.794	2.944
200.000	200.002	3.123	1.969
200.000	200.000	3.020	1.066
200.000	200.004	1.758	6.187
200.000	199.996	2.693	4.718
200.000	199.999	2.375	4.151
200.000	200.003	1.824	2.878
200.000	200.001	3.111	1.900
200.000	200.005	2.640	0.886
200.000	199.995	1.750	5.521
200.000	199.999	2.932	4.548
200.000	199.998	1.784	3.822
200.000	200.003	2.391	2.463
200.000	200.000	3.309	1.629
200.000	199.997	2.263	0.623
200.000	200.002	2.492	4.863
200.000	199.999	2.504	4.254
200.000	200.000	1.862	2.924
200.000	200.001	3.231	1.887
200.000	200.000	3.045	1.166
200.000	199.997	1.732	6.223
200.000	200.000	2.778	4.702
200.000	200.003	2.549	4.222
200.000	200.001	2.135	2.614
200.000	199.998	3.355	1.744
200.000	200.000	2.668	0.936
200.000	199.999	1.645	5.579
200.000	200.000	2.906	4.587
200.000	199.999	2.078	4.046
200.000	200.001	2.442	2.384
200.000	200.001	3.418	1.654
200.000	200.003	2.450	0.737
200.000	199.998	2.057	5.085
200.000	200.000	2.729	4.376
200.000	199.999	1.619	3.189
200.000	200.001	2.944	2.110
200.000	199.998	3.098	1.353
200.000	200.000	1.747	6.053
200.000	200.002	2.914	4.653
200.000	199.997	2.159	4.079
200.000	200.002	2.100	2.581
200.000	200.000	3.278	1.792
200.000	199.999	2.895	1.046
200.000	199.999	1.684	5.654
200.000	199.997	2.959	4.649
200.000	200.003	2.140	4.124
200.000	200.000	2.218	2.553
200.000	200.001	3.400	1.696
200.000	199.999	2.726	0.914
200.000	200.003	1.702	5.577
200.000	200.002	2.814	4.564
200.000	200.000	2.034	3.965
200.000	199.998	2.558	2.309
200.000	199.999	3.344	1.499
200.000	199.998	2.113	0.480
200.000	199.997	2.143	4.975
