Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
393	400.000	-0.009	400.000	0.038	4.906	1773085317.543
394	400.000	0.027	399.997	0.083	1.204	1773085317.825
395	400.000	0.039	400.004	0.078	4.990	1773085318.087
396	400.000	-0.036	400.002	0.086	2.622	1773085318.329
397	400.000	0.009	400.000	0.013	4.402	1773085318.612
398	400.000	0.007	399.998	0.047	0.313	1773085318.919
399	400.000	-0.008	399.996	0.030	5.297	1773085319.215
400	400.000	0.011	400.000	0.081	0.836	1773085319.537
401	400.000	0.026	400.001	0.038	4.116	1773085319.840
402	400.000	0.003	400.001	0.018	2.891	1773085320.116
403	400.000	0.016	400.000	0.047	1.710	1773085320.416
404	400.000	-0.008	400.001	0.036	0.639	1773085320.735
405	400.000	-0.008	400.001	0.020	1.837	1773085321.046
406	400.000	-0.004	400.001	0.144	1.330	1773085321.352
407	400.000	0.016	400.001	0.108	0.440	1773085321.647
408	400.000	-0.009	400.005	0.047	1.578	1773085321.931
409	400.000	-0.019	400.000	0.027	1.523	1773085322.225
410	400.000	0.004	399.998	0.046	6.227	1773085322.546
411	400.000	-0.015	399.999	0.028	5.687	1773085322.855
412	400.000	0.000	400.002	0.166	0.643	1773085323.173
413	400.000	0.015	400.001	0.106	1.467	1773085323.473
414	400.000	0.010	400.000	0.037	5.680	1773085323.818
415	400.000	-0.017	400.000	0.008	4.790	1773085324.098
416	400.000	-0.013	400.000	0.064	0.513	1773085324.409
417	400.000	-0.008	400.003	0.068	1.606	1773085324.724
418	400.000	-0.023	399.999	0.005	2.090	1773085325.040
419	400.000	-0.017	399.999	0.053	0.843	1773085325.311
420	400.000	0.005	400.000	0.016	2.906	1773085325.603
421	400.000	-0.014	399.999	0.031	2.095	1773085325.900
422	400.000	-0.013	400.004	0.079	0.025	1773085326.143
423	400.000	-0.018	400.000	0.087	0.707	1773085326.426
424	400.000	0.013	400.000	0.027	0.057	1773085326.716
425	400.000	0.029	399.998	0.085	1.532	1773085327.023
426	400.000	-0.027	400.003	0.061	0.321	1773085327.290
427	400.000	0.010	400.002	0.110	4.835	1773085327.526
428	400.000	-0.044	400.000	0.137	1.144	1773085327.803
429	400.000	0.003	400.003	0.065	0.213	1773085328.081
430	400.000	-0.005	400.002	0.022	1.095	1773085328.384
431	400.000	0.017	399.998	0.131	1.245	1773085328.678
432	400.000	0.005	399.999	0.061	3.437	1773085328.927
433	400.000	0.020	400.004	0.043	5.953	1773085329.202
434	400.000	0.006	400.001	0.026	2.377	1773085329.467
435	400.000	0.001	399.998	0.044	0.578	1773085329.795
436	400.000	-0.019	400.000	0.041	0.755	1773085330.082
437	400.000	0.009	399.998	0.040	0.508	1773085330.333
438	400.000	0.028	399.995	0.044	5.582	1773085330.642
439	400.000	0.028	399.997	0.074	1.476	1773085330.899
440	400.000	0.009	400.000	0.037	4.296	1773085331.182
441	400.000	-0.023	400.002	0.020	5.042	1773085331.447
442	400.000	-0.028	400.000	0.048	0.717	1773085331.756
443	400.000	-0.015	399.998	0.066	1.109	1773085332.018
444	400.000	0.007	399.998	0.036	4.413	1773085332.341
445	400.000	0.026	400.001	0.117	0.896	1773085332.631
446	400.000	-0.013	400.001	0.133	0.255	1773085332.908
447	400.000	0.011	400.000	0.067	2.424	1773085333.215
448	400.000	-0.028	400.001	0.015	1.938	1773085333.503
449	400.000	-0.015	400.000	0.023	3.275	1773085333.771
450	400.000	0.010	399.999	0.044	1.876	1773085334.022
451	400.000	-0.004	400.002	0.027	1.356	1773085334.332
452	400.000	0.009	399.999	0.120	0.730	1773085334.654
453	400.000	-0.008	400.002	0.096	1.208	1773085334.971
454	400.000	-0.003	399.999	0.017	4.320	1773085335.250
455	400.000	-0.015	400.002	0.046	1.493	1773085335.523
456	400.000	0.001	400.002	0.048	3.075	1773085335.822
457	400.000	-0.035	399.999	0.052	5.263	1773085336.132
458	400.000	0.008	400.002	0.040	4.373	1773085336.443
459	400.000	0.021	400.000	0.018	0.823	1773085336.781
460	400.000	-0.005	399.996	0.021	0.360	1773085337.100
461	400.000	-0.007	399.999	0.027	6.102	1773085337.341
462	400.000	0.018	400.003	0.020	2.480	1773085337.621
463	400.000	0.002	400.002	0.025	0.128	1773085337.930
464	400.000	0.024	399.999	0.096	0.483	1773085338.250
