Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.001	0.651	3.000
400.000	399.999	0.648	2.637
400.000	399.999	0.602	2.417
400.000	400.002	0.534	1.922
400.000	399.997	0.626	1.235
400.000	399.998	0.568	0.870
400.000	399.999	0.810	0.199
400.000	399.998	0.757	5.879
400.000	400.002	0.752	5.278
400.000	400.001	0.682	4.573
400.000	400.002	0.726	4.080
400.000	400.003	0.631	3.413
400.000	399.997	0.764	3.062
400.000	399.997	0.638	2.699
400.000	399.997	0.588	2.332
400.000	400.002	0.576	1.989
400.000	399.999	0.616	1.349
400.000	400.000	0.604	0.804
400.000	399.999	0.713	0.259
400.000	399.999	0.810	5.919
400.000	399.997	0.762	5.334
400.000	399.998	0.687	4.775
400.000	400.004	0.679	4.130
400.000	400.000	0.692	3.543
400.000	400.001	0.703	3.057
400.000	400.002	0.647	2.684
400.000	400.001	0.573	2.320
400.000	399.998	0.525	1.883
400.000	400.001	0.560	1.313
400.000	400.000	0.763	0.907
400.000	400.000	0.811	0.281
400.000	399.999	0.820	6.268
400.000	399.998	0.716	5.612
400.000	400.001	0.702	5.006
400.000	400.000	0.674	4.300
400.000	399.994	0.700	3.755
400.000	399.999	0.663	3.166
400.000	400.000	0.569	2.730
400.000	400.003	0.606	2.401
400.000	399.997	0.547	1.961
400.000	400.004	0.530	1.520
400.000	399.999	0.596	0.809
400.000	400.000	0.814	0.353
400.000	400.002	0.722	6.025
400.000	400.001	0.763	5.316
400.000	400.002	0.746	4.877
400.000	399.999	0.741	4.154
400.000	400.002	0.715	3.531
400.000	400.001	0.705	2.906
400.000	400.000	0.660	2.633
400.000	400.000	0.548	2.355
400.000	400.001	0.497	1.904
400.000	400.001	0.522	1.518
400.000	399.999	0.577	0.896
400.000	400.005	0.725	0.234
400.000	400.001	0.830	6.118
400.000	400.000	0.747	5.453
400.000	400.002	0.769	4.677
400.000	400.002	0.715	4.147
400.000	400.003	0.717	3.510
400.000	400.001	0.703	3.032
400.000	400.003	0.647	2.511
400.000	400.000	0.571	2.166
400.000	400.000	0.589	1.953
400.000	400.000	0.605	1.057
400.000	400.003	0.777	0.468
400.000	399.997	0.747	0.005
400.000	400.001	0.823	5.685
400.000	400.001	0.715	5.037
400.000	400.001	0.715	4.612
400.000	400.000	0.654	4.058
400.000	400.001	0.707	3.555
400.000	399.997	0.612	3.131
400.000	399.999	0.652	2.713
400.000	399.999	0.653	2.435
400.000	400.002	0.574	2.163
400.000	400.000	0.657	1.461
400.000	400.000	0.649	0.982
400.000	400.003	0.775	0.323
400.000	400.001	0.773	6.147
400.000	399.996	0.728	5.489
400.000	400.000	0.734	4.880
400.000	400.002	0.694	4.128
400.000	399.997	0.715	3.470
400.000	400.001	0.611	3.027
400.000	400.001	0.711	2.624
400.000	399.998	0.641	2.370
400.000	400.000	0.630	2.043
400.000	400.000	0.556	1.427
400.000	400.001	0.601	0.651
400.000	399.998	0.829	0.379
400.000	399.996	0.696	6.047
400.000	399.998	0.712	5.511
400.000	400.000	0.703	4.825
400.000	400.000	0.715	4.134
400.000	400.000	0.656	3.408
400.000	400.003	0.678	2.841
400.000	400.002	0.660	2.616
400.000	399.999	0.595	2.375
400.000	400.001	0.612	1.986
400.000	400.001	0.558	1.521
400.000	400.000	0.632	0.873
400.000	400.000	0.754	0.232
400.000	400.003	0.747	5.960
400.000	399.998	0.722	5.403
400.000	400.000	0.683	4.706
400.000	400.001	0.750	3.958
400.000	399.995	0.644	3.404
400.000	400.001	0.665	3.031
400.000	399.999	0.679	2.791
400.000	399.997	0.636	2.480
400.000	399.999	0.498	2.011
400.000	399.999	0.548	1.442
400.000	400.002	0.616	0.967
400.000	400.000	0.705	0.214
400.000	399.995	0.727	6.010
400.000	399.999	0.709	5.350
400.000	399.998	0.656	4.740
400.000	399.997	0.713	4.112
400.000	400.001	0.734	3.522
400.000	400.003	0.626	3.000
400.000	399.999	0.635	2.761
400.000	400.000	0.656	2.363
400.000	400.002	0.655	1.804
400.000	399.999	0.627	1.423
400.000	400.002	0.700	0.973
400.000	399.997	0.734	0.339
400.000	400.001	0.803	6.030
400.000	400.001	0.707	5.510
400.000	400.004	0.687	4.739
400.000	399.999	0.625	4.097
400.000	399.999	0.731	3.578
400.000	399.999	0.696	3.095
400.000	399.999	0.672	2.521
400.000	399.999	0.639	2.342
400.000	400.001	0.613	1.909
400.000	399.998	0.597	1.410
400.000	400.002	0.772	0.564
400.000	400.000	0.793	0.141
400.000	400.003	0.750	5.787
400.000	400.003	0.819	5.223
400.000	400.000	0.723	4.630
400.000	399.998	0.794	4.085
400.000	399.998	0.767	3.581
400.000	399.999	0.722	3.143
400.000	399.999	0.633	2.665
400.000	399.997	0.692	2.485
400.000	399.997	0.681	2.067
400.000	400.001	0.593	1.482
400.000	400.000	0.581	1.032
400.000	400.003	0.801	0.472
400.000	399.999	0.848	6.172
400.000	400.000	0.773	5.493
400.000	399.997	0.748	4.957
400.000	400.000	0.642	4.351
400.000	400.001	0.692	3.693
400.000	399.999	0.788	3.323
400.000	400.000	0.696	2.848
400.000	399.998	0.703	2.340
400.000	399.997	0.655	2.118
400.000	400.001	0.596	1.397
400.000	399.999	0.667	0.965
400.000	400.001	0.754	0.445
400.000	400.001	0.874	6.242
400.000	399.999	0.829	5.527
400.000	400.003	0.705	4.885
400.000	400.003	0.682	4.320
400.000	400.001	0.666	3.732
400.000	399.996	0.639	3.107
400.000	399.999	0.606	2.878
400.000	399.998	0.623	2.315
400.000	400.002	0.592	2.019
400.000	400.000	0.607	1.557
400.000	400.000	0.651	1.031
400.000	400.003	0.807	0.455
400.000	399.999	0.862	6.223
400.000	400.000	0.771	5.595
400.000	399.998	0.719	4.974
400.000	399.998	0.716	4.206
400.000	399.999	0.733	3.580
400.000	400.002	0.624	3.082
400.000	400.001	0.655	2.697
400.000	399.999	0.643	2.403
400.000	400.002	0.610	2.037
400.000	399.999	0.703	1.568
400.000	400.001	0.766	0.926
400.000	399.999	0.843	0.486
400.000	399.996	0.777	6.196
400.000	400.002	0.807	5.587
400.000	399.998	0.665	4.947
400.000	399.997	0.689	4.397
400.000	400.003	0.772	3.745
400.000	400.000	0.643	3.075
400.000	400.001	0.707	2.683
400.000	400.001	0.692	2.449
400.000	400.002	0.577	2.109
400.000	399.998	0.614	1.531
400.000	399.999	0.660	1.047
400.000	399.999	0.758	0.613
400.000	399.997	0.876	0.058
400.000	400.001	0.726	5.629
400.000	399.999	0.727	4.943
400.000	400.002	0.736	4.262
400.000	399.998	0.708	3.641
400.000	399.995	0.676	3.314
400.000	400.005	0.700	2.822
400.000	400.001	0.612	2.446
400.000	399.999	0.618	2.056
400.000	400.001	0.609	1.474
400.000	399.998	0.602	1.055
400.000	399.999	0.735	0.507
400.000	400.001	0.837	0.130
400.000	399.999	0.753	5.685
400.000	400.001	0.713	5.130
400.000	399.998	0.653	4.422
400.000	400.003	0.698	3.889
400.000	399.999	0.743	3.250
400.000	399.999	0.804	2.832
400.000	400.001	0.659	2.472
400.000	400.001	0.580	2.178
400.000	400.000	0.630	1.635
400.000	400.001	0.601	1.102
400.000	399.999	0.784	0.619
400.000	400.002	0.827	0.060
400.000	400.002	0.827	5.810
400.000	400.000	0.740	5.216
400.000	399.998	0.812	4.222
400.000	400.000	0.696	3.601
400.000	399.999	0.686	3.105
400.000	400.001	0.669	2.750
400.000	400.000	0.664	2.390
400.000	400.002	0.524	2.179
400.000	399.999	0.536	1.732
400.000	400.000	0.629	1.174
400.000	400.002	0.757	0.602
400.000	399.999	0.869	0.158
400.000	400.002	0.769	5.724
400.000	400.001	0.724	5.135
400.000	400.004	0.753	4.303
400.000	399.999	0.661	3.782
400.000	399.999	0.758	3.118
400.000	399.998	0.697	2.708
400.000	400.001	0.639	2.631
400.000	400.001	0.612	2.295
400.000	400.000	0.505	1.785
400.000	399.999	0.578	1.181
400.000	399.998	0.734	0.643
400.000	399.999	0.797	0.116
400.000	400.002	0.739	5.898
400.000	400.000	0.699	5.149
400.000	399.997	0.760	4.399
400.000	400.001	0.668	3.820
400.000	400.001	0.629	3.266
400.000	399.997	0.680	2.752
400.000	399.996	0.724	2.665
400.000	399.998	0.686	2.166
400.000	400.001	0.507	1.872
400.000	399.998	0.572	1.162
400.000	400.003	0.687	0.719
400.000	399.997	0.818	0.152
400.000	400.001	0.773	5.874
400.000	399.997	0.728	5.122
400.000	400.002	0.673	4.517
400.000	399.998	0.693	3.836
400.000	400.000	0.615	3.284
400.000	400.000	0.640	2.877
400.000	399.999	0.684	2.453
400.000	400.002	0.617	2.228
400.000	400.001	0.584	1.689
400.000	399.999	0.541	1.124
400.000	400.001	0.696	0.712
400.000	399.996	0.856	0.081
400.000	400.002	0.853	5.865
400.000	400.004	0.622	5.316
400.000	400.001	0.682	4.436
400.000	400.002	0.679	3.944
400.000	400.003	0.724	3.235
400.000	399.998	0.717	2.952
400.000	399.998	0.696	2.553
400.000	399.998	0.627	2.094
400.000	400.000	0.603	1.716
400.000	399.997	0.600	1.095
400.000	400.006	0.736	0.524
400.000	400.002	0.864	0.098
400.000	400.000	0.748	5.750
400.000	399.999	0.743	5.000
400.000	400.000	0.714	4.319
400.000	400.003	0.732	3.769
400.000	399.997	0.668	3.223
400.000	400.001	0.683	2.811
400.000	400.001	0.732	2.513
400.000	400.003	0.527	2.321
400.000	399.999	0.540	1.771
400.000	399.997	0.543	1.267
400.000	399.996	0.820	0.626
400.000	400.002	0.861	0.200
400.000	400.002	0.769	5.846
400.000	400.000	0.725	5.221
400.000	399.999	0.676	4.356
400.000	400.000	0.641	3.797
400.000	400.000	0.709	3.243
400.000	400.002	0.688	2.790
400.000	400.000	0.636	2.483
400.000	399.999	0.537	2.308
400.000	399.997	0.572	1.774
400.000	400.001	0.577	1.091
