Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
80	100.000	0.021	100.002	6.890	3.672	0.664	1771450475.611	1771450475.611	1771450475.611	1771450475.611	1771450475.611	1771450475.611
81	100.000	0.024	99.999	4.625	2.208	0.664	1771450475.816	1771450475.816	1771450475.816	1771450475.816	1771450475.816	1771450475.816
82	100.000	-0.008	100.005	12.024	1.074	0.664	1771450476.018	1771450476.018	1771450476.018	1771450476.018	1771450476.018	1771450476.018
83	100.000	0.037	99.995	16.424	0.787	0.664	1771450476.272	1771450476.272	1771450476.272	1771450476.272	1771450476.272	1771450476.272
84	100.000	-0.003	100.002	12.510	0.478	0.664	1771450476.517	1771450476.517	1771450476.517	1771450476.517	1771450476.517	1771450476.517
85	100.000	-0.018	99.996	4.193	5.732	0.664	1771450476.761	1771450476.761	1771450476.761	1771450476.761	1771450476.761	1771450476.761
86	100.000	-0.002	100.005	5.914	3.770	0.664	1771450477.022	1771450477.022	1771450477.022	1771450477.022	1771450477.022	1771450477.022
87	100.000	-0.022	99.999	4.473	2.300	0.664	1771450477.265	1771450477.265	1771450477.265	1771450477.265	1771450477.265	1771450477.265
88	100.000	-0.015	99.998	11.855	1.076	0.664	1771450477.508	1771450477.508	1771450477.508	1771450477.508	1771450477.508	1771450477.508
89	100.000	-0.012	100.005	16.787	0.731	0.664	1771450477.783	1771450477.783	1771450477.783	1771450477.783	1771450477.783	1771450477.783
90	100.000	0.030	99.998	11.228	0.316	0.664	1771450478.021	1771450478.021	1771450478.021	1771450478.021	1771450478.021	1771450478.021
91	100.000	0.006	100.001	4.277	5.281	0.664	1771450478.259	1771450478.259	1771450478.259	1771450478.259	1771450478.259	1771450478.259
92	100.000	0.064	100.000	6.523	3.705	0.664	1771450478.537	1771450478.537	1771450478.537	1771450478.537	1771450478.537	1771450478.537
93	100.000	0.043	100.000	5.636	1.889	0.664	1771450478.760	1771450478.760	1771450478.760	1771450478.760	1771450478.760	1771450478.760
94	100.000	-0.056	99.998	12.923	1.062	0.664	1771450479.026	1771450479.026	1771450479.026	1771450479.026	1771450479.026	1771450479.026
